Sl No,VIN,ECU Under Test,Deployment Status,Deployment start time,Deployment end time
4135,MD2B35306NCB14614,TEL,UPDATE SKIPPED,2022-05-18T10:12:17Z,2022-05-18T10:21:16Z
4136,MD2B35308NCB14632,TEL,UPDATE SKIPPED,2022-05-18T09:55:36Z,2022-05-19T01:18:38Z
4137,MD2B35306NCB14631,TEL,UPDATE SKIPPED,2022-05-18T09:52:07Z,2022-05-19T01:18:57Z
4138,MD2B35304NCB14630,TEL,REQUEST_PENDING,2022-06-24T10:20:00Z,None
4139,MD2B35304NCB14630,TEL,REQUEST_PENDING,2022-05-18T09:47:39Z,None
4140,MD2B35306NCB14628,TEL,UPDATE SKIPPED,2022-05-18T09:39:53Z,2022-05-30T08:01:56Z
4141,MD2B35304NCB14627,TEL,UPDATE SKIPPED,2022-05-18T09:35:53Z,2022-05-18T10:43:05Z
4142,MD2B35302NCB14626,TEL,UPDATE_COMPLETED,2022-05-23T02:48:44Z,2022-05-26T12:38:34Z
4143,MD2B35302NCB14626,TEL,UPDATE SKIPPED,2022-05-18T09:32:32Z,2022-05-18T09:41:15Z
4144,MD2B35300NCB14625,TEL,UPDATE SKIPPED,2022-05-18T09:28:33Z,2022-05-18T09:40:57Z
4145,MD2B35307NCB14623,TEL,UPDATE SKIPPED,2022-05-18T09:19:40Z,2022-05-18T09:31:59Z
4146,MD2B35305NCB14622,TEL,UPDATE SKIPPED,2022-05-18T09:15:50Z,2022-05-18T09:27:03Z
4147,MD2B35303NCB14621,TEL,UPDATE SKIPPED,2022-05-18T09:12:25Z,2022-05-18T09:19:38Z
4148,MD2B35301NCB14620,TEL,UPDATE SKIPPED,2022-05-18T09:06:48Z,2022-05-18T10:26:36Z
4149,MD2B35305NCB14619,TEL,UPDATE SKIPPED,2022-05-18T09:02:47Z,2022-05-18T09:10:39Z
4150,MD2B35302NCB14612,TEL,UPDATE SKIPPED,2022-05-18T09:01:09Z,2022-05-18T09:10:44Z
4151,MD2B35301NCB14617,TEL,UPDATE SKIPPED,2022-05-18T08:51:16Z,2022-05-20T10:28:34Z
4152,MD2B3530XNCB14616,TEL,UPDATE SKIPPED,2022-05-18T08:47:24Z,2022-05-18T08:58:15Z
4153,MD2B35308NCB14792,TEL,UPDATE SKIPPED,2022-05-18T08:47:13Z,2022-05-18T08:55:42Z
4154,MD2B35308NCB14615,TEL,UPDATE SKIPPED,2022-05-18T08:42:02Z,2022-05-18T09:13:20Z
4155,MD2B35308NCB13920,TEL,UPDATE SKIPPED,2022-05-18T08:35:23Z,2022-05-18T08:42:59Z
4156,MD2B35304NCB14613,TEL,UPDATE SKIPPED,2022-05-18T08:34:26Z,2022-05-23T06:56:16Z
4157,MD2B35306NCB14502,TEL,UPDATE SKIPPED,2022-05-18T08:29:45Z,2022-06-07T05:23:38Z
4158,MD2B35300NCB14611,TEL,UPDATE_WAITING_FOR_PRECONDITIONS,2022-05-23T02:48:44Z,None
4159,MD2B35300NCB14611,TEL,UPDATE SKIPPED,2022-05-18T08:23:53Z,2022-05-18T08:34:33Z
4160,MD2B35300NCB14799,TEL,UPDATE SKIPPED,2022-05-18T08:23:12Z,2022-05-18T09:08:17Z
4161,MD2B35309NCB14610,TEL,UPDATE SKIPPED,2022-05-18T08:18:37Z,2022-05-18T08:43:41Z
4162,MD2B35302NCB14609,TEL,UPDATE SKIPPED,2022-05-18T08:14:10Z,2022-05-18T08:21:54Z
4163,MD2B35300NCB14608,TEL,UPDATE SKIPPED,2022-05-18T08:10:30Z,2022-05-18T08:20:30Z
4164,MD2B35309NCB14607,TEL,UPDATE SKIPPED,2022-05-18T08:07:00Z,2022-05-18T08:35:37Z
4165,MD2B35307NCB14606,TEL,UPDATE SKIPPED,2022-05-18T08:01:35Z,2022-05-18T08:12:41Z
4166,MD2B35305NCB14605,TEL,UPDATE SKIPPED,2022-05-18T07:46:17Z,2022-05-23T14:03:11Z
4167,MD2B3530XNCB14602,TEL,UPDATE SKIPPED,2022-05-18T07:33:45Z,2022-05-18T07:41:49Z
4168,MD2B35308NCB14601,TEL,UPDATE SKIPPED,2022-05-18T07:30:27Z,2022-05-18T08:16:22Z
4169,MD2B35306NCB14600,TEL,REQUEST_PENDING,2022-05-18T07:24:00Z,None
4170,MD2B35303NCB14599,TEL,UPDATE SKIPPED,2022-05-18T07:17:33Z,2022-05-23T08:17:15Z
4171,MD2B35301NCB14598,TEL,UPDATE SKIPPED,2022-05-18T07:13:08Z,2022-05-18T07:23:39Z
4172,MD2B3530XNCB14597,TEL,UPDATE SKIPPED,2022-05-18T07:09:59Z,2022-05-24T06:46:25Z
4173,MD2B35308NCB14596,TEL,UPDATE_COMPLETED,2022-05-23T02:48:44Z,2022-05-23T13:06:30Z
4174,MD2B35308NCB14596,TEL,UPDATE SKIPPED,2022-05-18T07:04:23Z,2022-05-18T07:33:17Z
4175,MD2B35306NCB14595,TEL,UPDATE SKIPPED,2022-05-18T07:00:26Z,2022-05-18T07:29:13Z
4176,MD2B35304NCB14594,TEL,UPDATE SKIPPED,2022-05-18T06:56:25Z,2022-05-18T07:11:04Z
4177,MD2B35309NCB14798,TEL,UPDATE SKIPPED,2022-05-18T06:26:52Z,2022-05-18T06:59:03Z
4178,MD2B35307NCB14797,TEL,UPDATE SKIPPED,2022-05-18T06:22:37Z,2022-05-18T06:37:01Z
4179,MD2B35305NCB14796,TEL,UPDATE SKIPPED,2022-05-18T06:18:53Z,2022-06-01T09:39:31Z
4180,MD2B35303NCB14795,TEL,UPDATE_FAILED,2022-05-18T06:14:25Z,2022-05-18T06:17:46Z
4181,MD2B35301NCB14794,TEL,UPDATE SKIPPED,2022-05-18T06:10:11Z,2022-05-18T06:20:28Z
4182,MD2B3530XNCB14793,TEL,UPDATE SKIPPED,2022-05-18T06:06:24Z,2022-05-18T06:36:13Z
4183,MD2B35306NCB14791,VCU,REQUEST_PENDING,2022-06-21T08:59:13Z,None
4184,MD2B35306NCB14791,TEL,UPDATE_COMPLETED,2022-05-22T06:23:22Z,2022-05-25T15:26:55Z
4185,MD2B35306NCB14791,TEL,UPDATE SKIPPED,2022-05-18T05:59:19Z,2022-05-18T06:08:22Z
4186,MD2B35304NCB14790,TEL,UPDATE SKIPPED,2022-05-18T05:55:16Z,2022-05-18T06:10:59Z
4187,MD2B35308NCB14789,TEL,UPDATE SKIPPED,2022-05-18T05:51:14Z,2022-05-18T06:09:31Z
4188,MD2B35306NCB14788,TEL,UPDATE SKIPPED,2022-05-18T05:47:05Z,2022-05-23T10:46:26Z
4189,MD2B35304NCB14787,TEL,UPDATE SKIPPED,2022-05-18T05:40:56Z,2022-05-18T05:55:32Z
4190,MD2B35302NCB14786,TEL,UPDATE SKIPPED,2022-05-18T04:59:50Z,2022-05-18T06:36:33Z
4191,MD2B35305NCB14281,TEL,UPDATE SKIPPED,2022-05-18T04:50:22Z,2022-05-18T04:57:38Z
4192,MD2B35303NCB14280,TEL,UPDATE SKIPPED,2022-05-18T04:44:49Z,2022-05-18T04:58:15Z
4193,MD2B3530XNCB13921,TEL,UPDATE SKIPPED,2022-05-18T04:37:14Z,2022-05-18T05:46:01Z
4194,MD2B35303NCB14506,TEL,UPDATE_COMPLETED,2022-05-21T08:01:09Z,2022-05-21T09:35:01Z
4195,MD2B35303NCB14506,TEL,UPDATE SKIPPED,2022-05-18T03:02:34Z,2022-05-18T03:12:05Z
4196,MD2B35309NCB14509,TEL,UPDATE SKIPPED,2022-05-18T02:53:02Z,2022-05-18T03:03:54Z
4197,MD2B35304NCB14515,TEL,UPDATE SKIPPED,2022-05-18T02:44:51Z,2022-05-18T03:45:02Z
4198,MD2B35304NCB14711,TEL,UPDATE_COMPLETED,2022-05-18T02:29:26Z,2022-06-13T07:35:44Z
4199,MD2B35305NCB14507,TEL,UPDATE SKIPPED,2022-05-18T02:14:15Z,2022-05-18T02:32:13Z
4200,MD2B35301NCB14505,TEL,UPDATE SKIPPED,2022-05-18T01:45:14Z,2022-05-18T02:08:04Z
4201,MD2B35302NCB14514,TEL,UPDATE SKIPPED,2022-05-18T01:28:53Z,2022-05-18T01:37:07Z
4202,MD2B35300NCB14513,TEL,UPDATE SKIPPED,2022-05-18T01:24:20Z,2022-05-18T01:34:50Z
4203,MD2B35305NCB13857,TEL,UPDATE SKIPPED,2022-05-18T01:23:58Z,2022-05-18T13:52:40Z
4204,MD2B35309NCB14512,TEL,UPDATE SKIPPED,2022-05-18T01:18:11Z,2022-05-18T01:29:07Z
4205,MD2B35305NCB14510,TEL,UPDATE SKIPPED,2022-05-18T01:07:30Z,2022-05-18T01:33:07Z
4206,MD2B35308NCB14730,TEL,UPDATE SKIPPED,2022-05-17T16:05:37Z,2022-05-18T15:29:16Z
4207,MD2B35303NCB14022,TEL,UPDATE SKIPPED,2022-05-17T15:49:33Z,2022-05-18T04:21:25Z
4208,MD2B35301NCB14729,TEL,UPDATE SKIPPED,2022-05-17T15:36:51Z,2022-05-18T16:28:20Z
4209,MD2B35305NCB14734,TEL,UPDATE SKIPPED,2022-05-17T08:47:40Z,2022-05-23T16:54:58Z
4210,MD2B35303NCB14733,TEL,UPDATE SKIPPED,2022-05-17T08:43:41Z,2022-05-22T17:07:40Z
4211,MD2B35301NCB14732,TEL,UPDATE SKIPPED,2022-05-17T08:43:20Z,2022-05-17T10:58:13Z
4212,MD2B3530XNCB14728,VCU,UPDATE SKIPPED,2022-06-27T14:06:59Z,2022-06-28T05:59:47Z
4213,MD2B3530XNCB14728,TEL,UPDATE SKIPPED,2022-05-17T08:18:28Z,2022-05-28T06:53:24Z
4214,MD2B35304NCB14725,TEL,UPDATE SKIPPED,2022-05-17T08:17:48Z,2022-05-22T12:30:34Z
4215,MD2B35300NCB14463,TEL,UPDATE SKIPPED,2022-05-17T08:15:27Z,2022-05-23T05:51:38Z
4216,MD2B35308NCB14727,TEL,UPDATE SKIPPED,2022-05-17T08:14:10Z,2022-05-22T12:22:11Z
4217,MD2B35306NCB14726,TEL,UPDATE SKIPPED,2022-05-17T08:11:14Z,2022-05-24T07:46:28Z
4218,MD2B35302NCB14724,TEL,UPDATE_FAILED,2022-05-17T07:45:41Z,2022-05-24T08:39:30Z
4219,MD2B35309NCB14493,TEL,UPDATE_WAITING_FOR_PRECONDITIONS,2022-05-17T07:45:22Z,None
4220,MD2B35309NCB14722,TEL,UPDATE SKIPPED,2022-05-17T07:42:24Z,2022-05-20T10:36:38Z
4221,MD2B35307NCB14721,TEL,UPDATE SKIPPED,2022-05-17T07:41:08Z,2022-05-17T15:46:49Z
4222,MD2B35307NCB14492,TEL,UPDATE SKIPPED,2022-05-17T07:39:37Z,2022-06-03T06:24:23Z
4223,MD2B35305NCB14720,TEL,REQUEST_PENDING,2022-05-17T07:29:58Z,None
4224,MD2B35306NCB14709,TEL,UPDATE SKIPPED,2022-05-17T07:27:58Z,2022-05-23T05:50:26Z
4225,MD2B35305NCB14717,TEL,UPDATE SKIPPED,2022-05-17T07:18:46Z,2022-05-24T12:08:16Z
4226,MD2B35303NCB14716,TEL,UPDATE SKIPPED,2022-05-17T07:14:37Z,2022-05-23T05:51:15Z
4227,MD2B35301NCB14715,TEL,UPDATE SKIPPED,2022-05-17T07:05:56Z,2022-06-09T11:54:14Z
4228,MD2B35306NCB14712,TEL,UPDATE SKIPPED,2022-05-17T06:54:22Z,2022-05-21T07:54:42Z
4229,MD2B35302NCB14707,TEL,UPDATE SKIPPED,2022-05-17T06:47:16Z,2022-05-27T10:51:12Z
4230,MD2B35302NCB14710,TEL,UPDATE SKIPPED,2022-05-19T09:33:08Z,2022-05-19T10:14:48Z
4231,MD2B35302NCB14710,TEL,UPDATE SKIPPED,2022-05-17T06:45:35Z,2022-05-18T10:52:38Z
4232,MD2B35300NCB14706,TEL,UPDATE SKIPPED,2022-05-17T06:26:44Z,2022-05-22T17:54:09Z
4233,MD2B35309NCB14705,TEL,UPDATE SKIPPED,2022-05-17T06:23:17Z,2022-05-22T12:24:14Z
4234,MD2B35307NCB14704,TEL,UPDATE SKIPPED,2022-05-17T06:16:38Z,2022-05-22T12:22:56Z
4235,MD2B35305NCB14703,TEL,UPDATE SKIPPED,2022-05-17T06:12:43Z,2022-05-24T12:00:53Z
4236,MD2B35303NCB14702,TEL,UPDATE SKIPPED,2022-05-17T06:07:41Z,2022-05-21T07:57:40Z
4237,MD2B35301NCB14701,TEL,UPDATE SKIPPED,2022-05-17T06:04:51Z,2022-05-22T12:16:22Z
4238,MD2B35305NCB14698,TEL,UPDATE SKIPPED,2022-05-17T06:02:21Z,2022-05-17T15:46:21Z
4239,MD2B3530XNCB14700,TEL,UPDATE SKIPPED,2022-05-17T06:01:21Z,2022-05-23T06:04:06Z
4240,MD2B35301NCB14696,TEL,UPDATE SKIPPED,2022-05-17T06:00:28Z,2022-05-17T14:52:46Z
4241,MD2B35307NCB14699,TEL,UPDATE SKIPPED,2022-05-17T05:56:00Z,2022-05-17T06:09:12Z
4242,MD2B35303NCB14697,TEL,UPDATE SKIPPED,2022-05-17T05:46:11Z,2022-05-22T12:16:07Z
4243,MD2B3530XNCB14695,TEL,UPDATE SKIPPED,2022-05-17T05:00:03Z,2022-05-22T17:53:44Z
4244,MD2B35308NCB14694,TEL,REQUEST_PENDING,2022-05-17T04:52:01Z,None
4245,MD2B35300NCB14690,TEL,UPDATE SKIPPED,2022-05-17T04:32:46Z,2022-05-17T11:44:46Z
4246,MD2B35307NCB14489,TEL,UPDATE SKIPPED,2022-05-17T04:24:54Z,2022-05-17T04:36:51Z
4247,MD2B35304NCB14496,TEL,UPDATE SKIPPED,2022-05-17T04:19:07Z,2022-05-21T05:49:53Z
4248,MD2B35302NCB14495,TEL,UPDATE SKIPPED,2022-05-17T04:13:19Z,2022-05-26T11:11:41Z
4249,MD2B35300NCB14494,TEL,UPDATE SKIPPED,2022-05-17T04:08:54Z,2022-05-17T04:21:45Z
4250,MD2B35305NCB14491,TEL,UPDATE SKIPPED,2022-05-17T03:57:33Z,2022-06-09T10:39:00Z
4251,MD2B35302NCB14481,TEL,UPDATE SKIPPED,2022-05-17T03:53:56Z,2022-05-17T04:05:59Z
4252,MD2B35303NCB14490,TEL,UPDATE SKIPPED,2022-05-17T03:52:57Z,2022-05-17T04:21:34Z
4253,MD2B35305NCB14488,TEL,UPDATE SKIPPED,2022-05-17T03:43:22Z,2022-05-17T03:51:09Z
4254,MD2B35303NCB14487,TEL,UPDATE SKIPPED,2022-05-17T03:39:21Z,2022-05-17T04:06:32Z
4255,MD2B35301NCB14486,TEL,UPDATE SKIPPED,2022-05-17T03:35:24Z,2022-05-17T03:47:02Z
4256,MD2B3530XNCB14485,TEL,UPDATE SKIPPED,2022-05-17T03:31:38Z,2022-06-08T07:24:55Z
4257,MD2B35303NCB14053,TEL,UPDATE SKIPPED,2022-05-17T03:31:37Z,2022-05-17T03:44:37Z
4258,MD2B35308NCB14484,TEL,UPDATE SKIPPED,2022-05-17T03:27:09Z,2022-05-17T03:38:37Z
4259,MD2B35306NCB14483,TEL,UPDATE SKIPPED,2022-05-17T03:22:51Z,2022-05-17T03:39:25Z
4260,MD2B35304NCB14482,TEL,UPDATE SKIPPED,2022-05-17T03:19:19Z,2022-05-17T03:29:21Z
4261,MD2B35300NCB14480,TEL,UPDATE SKIPPED,2022-05-17T03:00:44Z,2022-05-17T03:20:45Z
4262,MD2B35304NCB14479,TEL,UPDATE SKIPPED,2022-05-17T02:56:27Z,2022-05-17T03:05:08Z
4263,MD2B35302NCB14478,TEL,UPDATE SKIPPED,2022-05-17T02:51:49Z,2022-05-17T15:18:59Z
4264,MD2B35300NCB14477,TEL,UPDATE SKIPPED,2022-05-17T02:47:08Z,2022-05-17T02:57:42Z
4265,MD2B35309NCB14476,TEL,UPDATE SKIPPED,2022-05-17T02:41:51Z,2022-05-17T02:54:53Z
4266,MD2B35307NCB14475,TEL,UPDATE SKIPPED,2022-05-17T02:35:44Z,2022-05-17T02:43:39Z
4267,MD2B35305NCB14474,TEL,UPDATE SKIPPED,2022-05-17T02:34:30Z,2022-05-17T04:14:29Z
4268,MD2B3530XNCB14065,TEL,UPDATE SKIPPED,2022-05-17T02:17:31Z,2022-05-17T02:33:13Z
4269,MD2B35308NCB14064,TEL,UPDATE SKIPPED,2022-05-17T02:13:05Z,2022-05-17T02:27:53Z
4270,MD2B35304NCB14062,TEL,UPDATE SKIPPED,2022-05-17T02:00:40Z,2022-05-17T02:09:18Z
4271,MD2B35306NCB14063,TEL,UPDATE SKIPPED,2022-05-17T01:56:44Z,2022-05-17T02:10:13Z
4272,MD2B35302NCB14061,TEL,UPDATE SKIPPED,2022-05-17T01:51:29Z,2022-05-17T02:27:56Z
4273,MD2B35300NCB14060,TEL,UPDATE SKIPPED,2022-05-17T01:47:45Z,2022-05-17T01:55:54Z
4274,MD2B35304NCB14059,TEL,REQUEST_PENDING,2022-05-17T01:42:42Z,None
4275,MD2B35300NCB14057,TEL,UPDATE SKIPPED,2022-05-17T01:35:16Z,2022-05-17T01:46:42Z
4276,MD2B35309NCB14056,TEL,UPDATE SKIPPED,2022-05-17T01:32:01Z,2022-05-17T02:36:02Z
4277,MD2B35307NCB14055,TEL,UPDATE_COMPLETED,2022-05-24T03:11:31Z,2022-06-09T03:24:50Z
4278,MD2B35307NCB14055,TEL,REQUEST_PENDING,2022-05-17T01:26:56Z,None
4279,MD2B35305NCB14054,TEL,UPDATE_FAILED,2022-05-17T01:21:39Z,2022-05-17T01:29:27Z
4280,MD2B35301NCB14052,TEL,UPDATE SKIPPED,2022-05-17T01:13:10Z,2022-05-25T06:17:07Z
4281,MD2B35301NCB14049,TEL,UPDATE SKIPPED,2022-05-17T01:01:34Z,2022-05-17T01:30:39Z
4282,MD2B35307NCB14041,TEL,UPDATE SKIPPED,2022-05-16T10:22:28Z,2022-05-24T04:46:42Z
4283,MD2B3530XNCB14048,TEL,UPDATE SKIPPED,2022-05-16T09:54:03Z,2022-05-17T01:04:17Z
4284,MD2B35308NCB14050,TEL,UPDATE SKIPPED,2022-05-16T09:50:00Z,2022-05-16T10:00:57Z
4285,MD2B35308NCB14047,TEL,UPDATE SKIPPED,2022-05-16T09:46:04Z,2022-05-16T09:53:52Z
4286,MD2B35306NCB14046,TEL,UPDATE SKIPPED,2022-05-16T09:41:17Z,2022-05-16T09:52:55Z
4287,MD2B35302NCB14044,VCU,UPTANE PROVISIONING,2022-06-02T12:03:13Z,2022-06-02T12:15:31Z
4288,MD2B35302NCB14044,VCU,REQUEST_PENDING,2022-06-02T12:02:33Z,None
4289,MD2B35302NCB14044,TEL,UPDATE SKIPPED,2022-05-16T09:35:55Z,2022-05-22T12:19:35Z
4290,MD2B35304NCB14045,TEL,UPDATE SKIPPED,2022-05-16T09:32:18Z,2022-05-16T09:45:26Z
4291,MD2B35300NCB14043,TEL,UPDATE SKIPPED,2022-05-16T09:27:25Z,2022-05-16T10:17:53Z
4292,MD2B35309NCB14042,TEL,UPDATE SKIPPED,2022-05-16T09:22:53Z,2022-05-16T09:32:13Z
4293,MD2B35305NCB14040,TEL,UPDATE SKIPPED,2022-05-16T09:13:39Z,2022-05-16T09:25:46Z
4294,MD2B35309NCB14039,TEL,UPDATE SKIPPED,2022-05-16T09:10:12Z,2022-05-16T09:20:28Z
4295,MD2B35307NCB14038,TEL,UPDATE SKIPPED,2022-05-16T09:06:35Z,2022-05-16T09:38:43Z
4296,MD2B35305NCB14037,TEL,UPDATE SKIPPED,2022-05-16T09:01:11Z,2022-05-19T16:26:47Z
4297,MD2B35303NCB14036,TEL,UPDATE SKIPPED,2022-05-16T08:54:14Z,2022-05-16T09:07:41Z
4298,MD2B35301NCB14035,TEL,UPDATE SKIPPED,2022-05-16T08:50:34Z,2022-05-16T17:20:02Z
4299,MD2B3530XNCB14034,TEL,UPDATE SKIPPED,2022-05-16T08:46:08Z,2022-05-16T08:56:29Z
4300,MD2B35308NCB14033,TEL,REQUEST_PENDING,2022-05-16T08:42:31Z,None
4301,MD2B35306NCB14032,TEL,UPTANE PROVISIONING,2022-05-19T09:33:51Z,2022-05-27T09:17:34Z
4302,MD2B35306NCB14032,TEL,UPDATE SKIPPED,2022-05-16T08:36:13Z,2022-05-19T10:11:54Z
4303,MD2B35304NCB14031,TEL,UPDATE SKIPPED,2022-05-16T08:28:09Z,2022-05-16T08:41:56Z
4304,MD2B35306NCB14029,TEL,UPDATE SKIPPED,2022-05-16T08:21:01Z,2022-05-16T08:30:02Z
4305,MD2B35304NCB14028,TEL,UPDATE SKIPPED,2022-05-16T08:17:16Z,2022-05-16T10:38:31Z
4306,MD2B35302NCB14027,TEL,UPDATE SKIPPED,2022-05-16T08:13:22Z,2022-05-16T08:22:09Z
4307,MD2B35300NCB14446,TEL,UPDATE SKIPPED,2022-05-16T08:11:47Z,2022-05-16T08:29:20Z
4308,MD2B35300NCB14026,TEL,UPDATE SKIPPED,2022-05-16T08:09:34Z,2022-05-16T08:18:46Z
4309,MD2B35309NCB14025,TEL,UPDATE SKIPPED,2022-05-16T08:05:10Z,2022-05-16T08:41:54Z
4310,MD2B35306NCB14449,TEL,UPDATE SKIPPED,2022-05-16T08:02:18Z,2022-05-16T08:14:40Z
4311,MD2B35305NCB14023,TEL,UPDATE SKIPPED,2022-05-16T08:01:25Z,2022-05-16T17:20:38Z
4312,MD2B35307NCB14024,TEL,REQUEST_PENDING,2022-05-16T07:57:50Z,None
4313,MD2B35301NCB14021,TEL,UPDATE SKIPPED,2022-05-16T07:35:58Z,2022-05-16T07:50:08Z
4314,MD2B3530XNCB14020,TEL,UPDATE SKIPPED,2022-05-16T07:31:18Z,2022-05-16T07:42:19Z
4315,MD2B35303NCB14019,TEL,UPDATE SKIPPED,2022-05-16T07:26:30Z,2022-05-16T07:39:22Z
4316,MD2B35308NCB14453,TEL,UPDATE SKIPPED,2022-05-16T07:25:13Z,2022-05-16T07:36:44Z
4317,MD2B35301NCB14018,TEL,UPDATE SKIPPED,2022-05-16T07:23:07Z,2022-05-16T07:36:38Z
4318,MD2B35303NCB14473,TEL,UPDATE_FAILED,2022-05-16T07:18:09Z,2022-05-16T07:26:45Z
4319,MD2B35301NCB14472,TEL,UPDATE SKIPPED,2022-05-16T07:14:05Z,2022-05-16T07:22:00Z
4320,MD2B3530XNCB14471,TEL,UPDATE SKIPPED,2022-05-16T07:10:30Z,2022-05-16T07:23:40Z
4321,MD2B35308NCB14470,TEL,UPDATE SKIPPED,2022-05-16T07:07:05Z,2022-05-16T08:15:50Z
4322,MD2B35301NCB14469,TEL,UPDATE SKIPPED,2022-05-16T07:03:04Z,2022-05-16T07:17:14Z
4323,MD2B35305NCB14460,TEL,REQUEST_PENDING,2022-05-16T07:01:35Z,None
4324,MD2B3530XNCB14468,TEL,UPDATE SKIPPED,2022-05-16T06:58:57Z,2022-05-16T07:20:42Z
4325,MD2B35308NCB14467,TEL,UPDATE SKIPPED,2022-05-16T06:54:31Z,2022-05-25T00:30:02Z
4326,MD2B35302NCB14464,TEL,UPDATE SKIPPED,2022-05-16T06:52:41Z,2022-05-16T07:22:56Z
4327,MD2B35306NCB14466,TEL,UPDATE SKIPPED,2022-05-16T06:50:20Z,2022-05-16T06:57:59Z
4328,MD2B35304NCB14465,TEL,UPDATE SKIPPED,2022-05-16T06:46:11Z,2022-05-16T07:04:15Z
4329,MD2B35309NCB14462,TEL,UPDATE SKIPPED,2022-05-16T06:31:05Z,2022-05-16T06:38:59Z
4330,MD2B35307NCB14461,TEL,UPDATE SKIPPED,2022-05-16T06:27:22Z,2022-05-16T06:36:40Z
4331,MD2B35309NCB14459,TEL,UPDATE SKIPPED,2022-05-16T06:19:41Z,2022-05-16T06:30:44Z
4332,MD2B35307NCB14458,TEL,REQUEST_PENDING,2022-05-16T06:15:53Z,None
4333,MD2B35305NCB14457,TEL,UPDATE SKIPPED,2022-05-16T06:11:09Z,2022-05-16T06:19:48Z
4334,MD2B35303NCB14456,TEL,UPDATE SKIPPED,2022-05-16T06:06:10Z,2022-05-16T06:18:55Z
4335,MD2B35301NCB14455,TEL,UPDATE SKIPPED,2022-05-16T06:02:35Z,2022-05-16T06:16:35Z
4336,MD2B3530XNCB14454,TEL,UPDATE SKIPPED,2022-05-16T05:57:48Z,2022-05-16T06:08:01Z
4337,MD2B35306NCB14452,TEL,UPDATE SKIPPED,2022-05-16T05:49:47Z,2022-05-16T06:14:27Z
4338,MD2B35304NCB14451,TEL,UPDATE SKIPPED,2022-05-16T05:45:15Z,2022-05-20T07:35:35Z
4339,MD2B35302NCB14450,TEL,UPDATE SKIPPED,2022-05-16T05:40:27Z,2022-05-16T05:50:16Z
4340,MD2B35302NCB14447,TEL,UPDATE SKIPPED,2022-05-16T04:55:47Z,2022-05-16T05:06:48Z
4341,MD2B35305NCB14393,TEL,UPDATE_FAILED,2022-05-16T04:53:30Z,2022-05-16T08:34:54Z
4342,MD2B35304NCB14448,TEL,UPDATE SKIPPED,2022-05-16T04:52:26Z,2022-05-18T08:38:46Z
4343,MD2B35309NCB14445,TEL,UPDATE SKIPPED,2022-05-16T04:41:04Z,2022-05-16T04:52:01Z
4344,MD2B35305NCB14443,TEL,UPDATE SKIPPED,2022-05-16T04:37:37Z,2022-05-16T04:52:36Z
4345,MD2B35307NCB14444,TEL,UPDATE SKIPPED,2022-05-16T04:32:56Z,2022-05-16T04:39:28Z
4346,MD2B35303NCB14442,TEL,UPDATE SKIPPED,2022-05-16T04:28:51Z,2022-05-16T04:38:49Z
4347,MD2B35301NCB14441,TEL,UPDATE SKIPPED,2022-05-16T04:24:38Z,2022-05-16T04:32:21Z
4348,MD2B3530XNCB14440,TEL,UPDATE SKIPPED,2022-05-16T04:19:39Z,2022-05-16T04:33:27Z
4349,MD2B35301NCB14438,TEL,UPDATE SKIPPED,2022-05-16T04:16:01Z,2022-05-16T04:27:34Z
4350,MD2B35303NCB14439,TEL,UPDATE SKIPPED,2022-05-16T04:11:53Z,2022-05-16T04:25:45Z
4351,MD2B3530XNCB14437,TEL,UPDATE SKIPPED,2022-05-16T04:08:01Z,2022-05-16T04:29:56Z
4352,MD2B35300NCA12743,TEL,UPDATE SKIPPED,2022-05-16T04:06:58Z,2022-05-16T04:21:22Z
4353,MD2B35308NCB14436,TEL,UPDATE SKIPPED,2022-05-16T04:03:14Z,2022-05-16T04:22:03Z
4354,MD2B35302NCB14433,TEL,UPDATE SKIPPED,2022-05-16T03:59:29Z,2022-05-16T04:11:42Z
4355,MD2B35306NCB14435,TEL,UPDATE SKIPPED,2022-05-16T03:58:20Z,2022-05-16T04:19:23Z
4356,MD2B35307NCB14427,TEL,UPDATE SKIPPED,2022-05-16T03:50:21Z,2022-05-16T06:29:13Z
4357,MD2B35304NCB14434,TEL,UPDATE SKIPPED,2022-05-16T03:34:53Z,2022-05-16T03:45:15Z
4358,MD2B35300NCB14432,TEL,UPDATE SKIPPED,2022-05-16T03:26:10Z,2022-05-16T03:47:23Z
4359,MD2B35303NCB14425,TEL,UPDATE SKIPPED,2022-05-16T03:22:29Z,2022-05-16T03:35:35Z
4360,MD2B35307NCB14430,TEL,UPDATE SKIPPED,2022-05-16T03:22:20Z,2022-05-16T03:41:36Z
4361,MD2B35309NCB14431,TEL,UPDATE SKIPPED,2022-05-16T03:18:09Z,2022-05-16T03:30:12Z
4362,MD2B35300NCB14429,TEL,UPDATE SKIPPED,2022-05-16T02:58:44Z,2022-05-16T03:05:34Z
4363,MD2B35309NCB14428,TEL,UPDATE SKIPPED,2022-05-16T02:54:34Z,2022-05-16T03:04:27Z
4364,MD2B35304NCB14417,TEL,UPDATE SKIPPED,2022-05-16T02:49:27Z,2022-05-16T03:02:31Z
4365,MD2B35305NCB14426,TEL,UPDATE SKIPPED,2022-05-16T02:45:27Z,2022-05-16T02:55:10Z
